step,target_class,confidence,diff_x,diff_y,smoothed_diff_x,smoothed_diff_y,direction,pos_x,pos_y,pos_z
184,person,0.81,147,143,123.0,139.2,"['RIGHT', 'DOWN']",0.021,-0.130,1.000
185,person,0.82,153,145,135.0,141.2,"['RIGHT', 'DOWN']",0.021,-0.132,1.000
186,person,0.81,154,148,143.2,143.4,"['RIGHT', 'DOWN']",0.021,-0.133,1.000
187,person,0.79,159,150,149.8,145.4,"['RIGHT', 'DOWN']",0.022,-0.134,1.000
188,person,0.78,162,153,155.0,147.8,"['RIGHT', 'DOWN']",0.022,-0.135,1.000
189,person,0.81,163,153,158.2,149.8,"['RIGHT', 'DOWN']",0.022,-0.137,1.000
190,person,0.80,163,154,160.2,151.6,"['RIGHT', 'DOWN']",0.022,-0.138,1.000
191,person,0.79,165,155,162.4,153.0,"['RIGHT', 'DOWN']",0.023,-0.139,1.000
192,person,0.78,164,155,163.4,154.0,"['RIGHT', 'DOWN']",0.023,-0.141,1.000
193,person,0.77,164,153,163.8,154.0,"['RIGHT', 'DOWN']",0.023,-0.142,1.000
194,person,0.77,164,152,164.0,153.8,"['RIGHT', 'DOWN']",0.023,-0.143,1.000
195,person,0.79,164,149,164.2,152.8,"['RIGHT', 'DOWN']",0.024,-0.145,1.000
196,person,0.81,163,146,163.8,151.0,"['RIGHT', 'DOWN']",0.024,-0.146,1.000
197,person,0.81,159,143,162.8,148.6,"['RIGHT', 'DOWN']",0.024,-0.148,1.000
198,person,0.84,157,140,161.4,146.0,"['RIGHT', 'DOWN']",0.024,-0.149,1.000
199,person,0.83,155,135,159.6,142.6,"['RIGHT', 'DOWN']",0.025,-0.150,1.000
200,person,0.88,151,131,157.0,139.0,"['RIGHT', 'DOWN']",0.025,-0.152,1.000
201,person,0.86,135,127,151.4,135.2,"['RIGHT', 'DOWN']",0.025,-0.153,1.000
202,person,0.86,111,123,141.8,131.2,"['RIGHT', 'DOWN']",0.026,-0.155,1.000
203,person,0.85,90,120,128.4,127.2,"['RIGHT', 'DOWN']",0.026,-0.156,1.000
204,person,0.82,78,119,113.0,124.0,"['RIGHT', 'DOWN']",0.026,-0.157,1.000
205,person,0.78,72,117,97.2,121.2,"['RIGHT', 'DOWN']",0.027,-0.159,1.000
206,person,0.74,69,116,84.0,119.0,"['RIGHT', 'DOWN']",0.027,-0.160,1.000
207,person,0.53,20,115,65.8,117.4,"['RIGHT', 'DOWN']",0.027,-0.162,1.000
208,person,0.59,12,116,50.2,116.6,"['RIGHT', 'DOWN']",0.028,-0.163,1.000
209,person,0.62,-5,117,33.6,116.2,"['RIGHT', 'DOWN']",0.028,-0.165,1.000
210,person,0.64,-20,119,15.2,116.6,['DOWN'],0.029,-0.166,1.000
211,person,0.59,-55,116,-9.6,116.6,['DOWN'],0.029,-0.168,1.000
212,person,0.78,-73,114,-28.2,116.4,['DOWN'],0.029,-0.169,1.000
